Country,Year,Population,E_waste_generated_kt,EEE_put_on_market_kt,E_waste_collection_rate,E_waste_formally_collected_kt,E_waste_imported_kt,E_waste_exported_kt,E_waste_generated_per_capita,EEE_put_on_market_per_capita,Temperature_Exchange_Equipment_kt,Screens_kt,Lamps_kt,Large_Equipment_kt,Small_Equipment_kt,Small_IT_kt,source_file
Paraguay,2020,6573039,51,74,0,0,,,7.7,11.3,11,6,1,7,22,4,e-waste-2020_fixed.csv
Peru,2020,33090281,204,304,2,3,,,6.2,9.2,36,24,8,25,93,18,e-waste-2020_fixed.csv
Uruguay,2020,3428271,42,59,3,1,,,12.2,17.2,11,5,2,9,13,3,e-waste-2020_fixed.csv
Venezuela,2020,28628832,301,183,0,1,,,10.5,6.4,83,25,7,82,86,19,e-waste-2020_fixed.csv
Haiti,2020,11234508,12,10,0,0,,,1.1,0.9,4,1,1,1,4,1,e-waste-2020_fixed.csv
Dominican Republic,2020,10939347,89,147,0,0,,,8.1,13.4,20,9,2,21,30,6,e-waste-2020_fixed.csv
Colombia,2021,51244297,373,589,1,5,,,7.3,11.5,103,42,11,64,122,32,e-waste-2021_fixed.csv
Argentina,2021,45163623,502,673,3,14,,,11.1,14.9,110,47,10,153,152,30,e-waste-2021_fixed.csv
Bolivia (Plurinational State of),2021,12009978,85,123,3,2,,,7.1,10.2,11,6,2,20,39,7,e-waste-2021_fixed.csv
Brazil,2021,213827672,2380,2518,3,77,,,11.1,11.8,711,191,55,667,622,134,e-waste-2021_fixed.csv
Chile (Republic of),2021,19393941,222,351,3,7,,,11.5,18.1,52,22,4,63,67,15,e-waste-2021_fixed.csv
Costa Rica,2021,5140851,64,92,9,6,,,12.5,17.8,11,7,1,11,27,6,e-waste-2021_fixed.csv
Ecuador,2021,17690028,105,132,3,3,,,5.9,7.5,21,10,3,15,47,9,e-waste-2021_fixed.csv
El Salvador,2021,6304540,39,68,1,0,,,6.2,10.8,9,4,3,5,14,4,e-waste-2021_fixed.csv
Guatemala,2021,17494265,87,149,1,1,,,5.0,8.5,17,8,3,11,39,8,e-waste-2021_fixed.csv
Honduras,2021,10201736,34,66,0,0,,,3.3,6.5,9,4,1,5,13,3,e-waste-2021_fixed.csv
Mexico,2021,126386142,1448,1900,4,51,,,11.5,15.0,368,113,27,426,426,89,e-waste-2021_fixed.csv
Nicaragua,2021,6802086,20,29,0,0,,,2.9,4.2,5,2,1,2,8,2,e-waste-2021_fixed.csv
Panama,2021,4323252,52,75,0,0,,,12.0,17.4,12,4,1,14,18,4,e-waste-2021_fixed.csv
Paraguay,2021,6664351,54,80,0,0,,,8.0,12.1,11,6,2,8,23,4,e-waste-2021_fixed.csv
Peru,2021,33519231,212,318,2,3,,,6.3,9.5,39,24,9,27,96,19,e-waste-2021_fixed.csv
Uruguay,2021,3429902,43,61,3,1,,,12.5,17.7,11,4,2,9,13,3,e-waste-2021_fixed.csv
Venezuela,2021,28352075,303,170,0,1,,,10.7,6.0,85,25,7,82,86,18,e-waste-2021_fixed.csv
Haiti,2021,11379095,12,10,0,0,,,1.1,0.9,4,1,1,1,4,1,e-waste-2021_fixed.csv
Dominican Republic,2021,11059980,94,164,0,0,,,8.5,14.8,21,9,2,23,31,6,e-waste-2021_fixed.csv
Colombia,2022,51788827,388,526,1,5,,,7.5,10.2,107,43,12,67,127,32,e-waste-2022_fixed.csv
Argentina,2022,45389937,517,672,3,14,,,11.4,14.8,114,46,10,158,158,31,e-waste-2022_fixed.csv
Bolivia (Plurinational State of),2022,12148966,89,135,3,2,,,7.3,11.1,12,6,2,21,41,7,e-waste-2022_fixed.csv
Brazil,2022,214824774,2443,3210,3,79,,,11.4,14.9,732,191,59,685,642,135,e-waste-2022_fixed.csv
Chile (Republic of),2022,19592428,230,354,3,7,,,11.7,18.1,54,22,4,65,69,16,e-waste-2022_fixed.csv
Costa Rica,2022,5167063,66,93,9,6,,,12.7,17.9,12,7,1,11,28,6,e-waste-2022_fixed.csv
Ecuador,2022,17905446,108,142,3,3,,,6.0,7.9,22,10,4,16,48,9,e-waste-2022_fixed.csv
El Salvador,2022,6323795,40,72,1,0,,,6.4,11.4,9,4,3,6,15,4,e-waste-2022_fixed.csv
Guatemala,2022,17722702,92,167,1,1,,,5.2,9.4,18,8,4,12,42,8,e-waste-2022_fixed.csv
Honduras,2022,10354955,36,74,0,0,,,3.5,7.1,9,4,2,5,14,3,e-waste-2022_fixed.csv
Mexico,2022,127024134,1499,2128,4,53,,,11.8,16.8,380,116,29,442,443,90,e-waste-2022_fixed.csv
Nicaragua,2022,6898994,21,29,0,0,,,3.0,4.3,5,2,1,2,9,2,e-waste-2022_fixed.csv
Panama,2022,4379282,54,81,0,0,,,12.4,18.5,13,4,1,14,18,4,e-waste-2022_fixed.csv
Paraguay,2022,6743247,56,86,0,0,,,8.4,12.7,12,6,2,8,25,4,e-waste-2022_fixed.csv
Peru,2022,33911712,221,335,2,3,,,6.5,9.9,42,24,9,29,99,19,e-waste-2022_fixed.csv
Uruguay,2022,3422617,44,60,3,1,,,12.9,17.6,11,4,2,9,14,3,e-waste-2022_fixed.csv
Venezuela,2022,28047658,303,190,0,1,,,10.8,6.8,86,25,7,81,86,17,e-waste-2022_fixed.csv
Haiti,2022,11516043,12,14,0,0,,,1.1,1.2,4,1,1,1,4,1,e-waste-2022_fixed.csv
Dominican Republic,2022,11175767,99,197,0,0,,,8.8,17.6,23,9,3,25,33,7,e-waste-2022_fixed.csv
