country,year,category,share,value,pair_side
Bolivia (Plurinational State of),2018,large_equipment,0.22,8.4,x
Bolivia (Plurinational State of),2018,lamps,0.06,4.2,y
Bolivia (Plurinational State of),2018,large_equipment,0.22,8.4,x
Bolivia (Plurinational State of),2018,large_equipment,0.25,4.2,y
Bolivia (Plurinational State of),2018,large_equipment,0.22,8.4,x
Bolivia (Plurinational State of),2018,small_equipment,0.39,4.2,y
Bolivia (Plurinational State of),2018,large_equipment,0.22,8.4,x
Bolivia (Plurinational State of),2018,small_it,0.07,4.2,y
Bolivia (Plurinational State of),2018,small_equipment,0.39,8.4,x
Bolivia (Plurinational State of),2018,temperature_exchange_equipment,0.2,4.2,y
Bolivia (Plurinational State of),2018,small_equipment,0.39,8.4,x
Bolivia (Plurinational State of),2018,screens_and_monitors,0.03,4.2,y
Bolivia (Plurinational State of),2018,small_equipment,0.39,8.4,x
Bolivia (Plurinational State of),2018,lamps,0.06,4.2,y
Bolivia (Plurinational State of),2018,small_equipment,0.39,8.4,x
Bolivia (Plurinational State of),2018,large_equipment,0.25,4.2,y
Bolivia (Plurinational State of),2018,small_equipment,0.39,8.4,x
Bolivia (Plurinational State of),2018,small_equipment,0.39,4.2,y
Bolivia (Plurinational State of),2018,small_equipment,0.39,8.4,x
Bolivia (Plurinational State of),2018,small_it,0.07,4.2,y
Bolivia (Plurinational State of),2018,small_it,0.11,8.4,x
Bolivia (Plurinational State of),2018,temperature_exchange_equipment,0.2,4.2,y
Bolivia (Plurinational State of),2018,small_it,0.11,8.4,x
Bolivia (Plurinational State of),2018,screens_and_monitors,0.03,4.2,y
Bolivia (Plurinational State of),2018,small_it,0.11,8.4,x
Bolivia (Plurinational State of),2018,lamps,0.06,4.2,y
Bolivia (Plurinational State of),2018,small_it,0.11,8.4,x
Bolivia (Plurinational State of),2018,large_equipment,0.25,4.2,y
Bolivia (Plurinational State of),2018,small_it,0.11,8.4,x
Bolivia (Plurinational State of),2018,small_equipment,0.39,4.2,y
Bolivia (Plurinational State of),2018,small_it,0.11,8.4,x
Bolivia (Plurinational State of),2018,small_it,0.07,4.2,y
Chile (Republic of),2018,temperature_exchange_equipment,0.26,15.1,x
Chile (Republic of),2018,temperature_exchange_equipment,0.34,7.6,y
Chile (Republic of),2018,temperature_exchange_equipment,0.26,15.1,x
